Basin,Country,Description,DateSigned,Signatories,IssueArea
Ganges-Brahmaputra-Meghna,Bhutan,Agreement Between the Government of India and the Royal Government of Bhutan regarding the Chukkha Hydroelectric Project. Chukkha Hydroelectric Project  India finances hydroelectric project (60% grant  40% low interest loan) to be built in.,27/05/1905,Bhutan  India,N.A.
Unknown,Bolivia,Tratado sobre medio ambiente,17/03/1994,Bolivia  Argentina,N.A.
Amazon,Bolivia,Treaty for Amazonian cooperation,03/07/1978,Bolivia  Brazil Colombia  Ecuador  Guyana  Peru  Suriname  Venezuela,Economic Development
Lake Titicaca-Poopo System,Bolivia,Preliminary convention between Bolivia and Peru for the exploitation of fisheries in Lake Titicaca,17/07/1935,Peru  Bolivia,Fishing
Amazon,Bolivia,Exchange of notes constituting an agreement for the construction of a hydroelectric plant in Cachuela Esperanza  supplementary to the agreement on economic and technical cooperation,02/08/1988,Bolivia  Brazil,Hydro-power/Hydro-electricity
Lake Titicaca-Poopo System,Bolivia,Agreement between Bolivia and Peru concerning a preliminary economic study of the joint utilization of the waters of Lake Titicaca.,19/02/1957,Bolivia  Peru,Hydro-power/Hydro-electricity
Amazon,Bolivia,Agreement concerning the Cachuela Esperanza hydroelectric plant  supplementary to the agreement on economic and technical co-operation between the government of the Federative Republic of Brazil and the government of the Republic of Bolivia,08/02/1984,Brazil  Bolivia,Hydro-power/Hydro-electricity
La Plata,Bolivia,Treaty of the River Plate Basin,14/08/1970,Argentina  Bolivia  Brazil  Paraguay  Uruguay,Joint Management
Lake Titicaca-Poopo System,Bolivia,Notas reversales related to the creation of the Autonomous Binational Authority of the basin of the Lake Titicaca  Desaguadero river  Lake Poop���  Coipasa Salt Pan system,21/06/1993,Bolivia  Peru,Joint Management
Amazon,Bolivia,Agreement on Economic and technical co-operation between the Government of the Republic of Brazil and the Government of the Republic of Bolivia,N.A.,Brazil  Bolivia ,N.A.
Lake Titicaca-Poopo System,Bolivia,Exchange of notes between Peru and Bolivia establishing a joint commission for study of the Puno-Guaqui railway line and joint use of the waters of Lake Titicaca,20/04/1955,Bolivia  Peru,Technical Cooperation/Assistance
Lake Titicaca-Poopo System,Bolivia,Preliminary convention between Peru and Bolivia concerning a study of the joint utilization of the waters of Lake Titicaca,30/07/1955,Bolivia  Peru,Technical Cooperation/Assistance
Danube,Bosnia and Herzegovina,Convention Between the Governments of the Romanian People's Republic  the People's Republic of Bulgaria  the Federal People's Republic of Yugoslavia and the Union of Soviet Socialist Republics concerning fishing in the waters of the Danube,29/01/1958,Romanian People's Republic  People's Republic of Bulgaria  Federal People's Republic of Yugoslavia  Union of Soviet Socialist Republics,N.A.
Danube,Bosnia and Herzegovina,Agreement concerning water-economy questions between the government of the Federal People's Republic of Yugoslavia and the government of the People's Republic of Bulgaria,04/04/1958,Bulgaria  Yuoslavia,Economic Development
Danube,Bosnia and Herzegovina,Agreement between Yugoslavia and Romania concerning questions of water control on water control systems and watercourses on or intersected,07/04/1955,Romania  Yugoslavia,Fishing
Danube,Bosnia and Herzegovina,Agreement between Yugoslavia and Hungary together with the statute of the Yugoslav-Hungarian water economy commission.,08/08/1955,Hungary  Yugoslavia,Flood Control/Relief
Danube,Bosnia and Herzegovina,Agreement between the government of the Federal People's Republic of Yugoslavia and the government of the People's Republic of Albania concerning water economy questions  together with the statue of the Yugoslav-Albanian Water economic commission and with he protocol concerning fishing in frontier lakes and rivers.,05/12/1956,Albania  Yugoslavia  People's Republic of,Hydro-power/Hydro-electricity
Danube,Bosnia and Herzegovina,Agreement between the Socialist Federal Republic of Yugoslavia and the Romanian People?s Republic concerning the construction and operation of the Iron Gates water power and navigation system on the River Danube,30/11/1963,Romania  Yugoslavia,Hydro-power/Hydro-electricity
Danube,Bosnia and Herzegovina,Convention between the government of the Socialist Federal Republic of Yugoslavia and the government of the Romanian People's Republic concerning the operation of the Iron Gates water power and navigation system on the River Danube,30/11/1963,Romania  Yugoslavia,Hydro-power/Hydro-electricity
Danube,Bosnia and Herzegovina,Convention between the Socialist Federal Republic of Yugoslavia and the Romanian People?s Republic concerning compensation for damage caused by the construction of the Iron Gates water power and navigation system on the River Danube,30/11/1963,Romania  Yugoslavia,Hydro-power/Hydro-electricity
Danube,Bosnia and Herzegovina,Protocol between the Federal People's Republic of Yugoslavia and the People's Republic of Romania governing crossing of the frontier by officials of the water control services,31/12/1948,Romania  Yugoslavia,Infrastructure/Development
Danube,Bosnia and Herzegovina,Convention between the government of the Socialist Federal Republic of Yugoslavia and the government of the Romanian People's Republic concerning the determination of the value of investments and mutual accounting in connexion with the construction of the Iron Gates Water power and navigation system on the River Danube,30/11/1963,Romania  Yugoslavia,Infrastructure/Development  Hydro-power/Hydro-electricity
Danube,Bosnia and Herzegovina,Convention between the government of the Socialist Federal Republic of Yugoslavia and the government of the Romanian People's Republic concerning the execution of works for the Iron Gates Water power and navigation system on the River Danube,30/11/1963,Romania  Yugoslavia,Infrastructure/Development  Hydro-power/Hydro-electricity
Danube,Bosnia and Herzegovina,Convention between the government of the Socialist Federal Republic of Yugoslavia and the government of the Romanian People's Republic concerning the preparation of designs for the construction of the Iron Gates Water power and navigation system on the River Danube,30/11/1963,Romania  Yugoslavia,Infrastructure/Development  Hydro-power/Hydro-electricity
Danube,Bosnia and Herzegovina,Final act  agreement and other acts relating to the establishment and operation of the Iron Gates Water power and navigation system on the River Danube,30/11/1963,Romania  Yugoslavia,Infrastructure/Development  Hydro-power/Hydro-electricity
Danube,Bosnia and Herzegovina,Agreement between the Federal People's Republic of Yugoslavia and the Republic of Austria concerning water economy questions in respect of the frontier sector of the Mura and the frontier waters of the Mura (the Mura Agreement)  and  Protocol to the Mura,16/12/1954,Austria  Yugoslavia,Joint Management  Water Quality
Danube,Bosnia and Herzegovina,Convention regarding the regime of navigation on the Danube,18/08/1948,Bulgaria  Czechoslovakia  Hungary  Romania  Ukraine  Soviet Socialist Republic of  Soviet Union  Yugoslavia  People's Republic of,Navigation
Danube,Bosnia and Herzegovina,Framework Agreement on the Sava River Basin,03/12/2002,Croatia  Slovenia  Yugoslavia  Bosnia and Herzegovina,Navigation  Water Quality
Danube,Bosnia and Herzegovina,Framework Agreement on the Sava River Basin,03/12/2002,Croatia  Slovenia  Yugoslavia  Bosnia and Herzegovina,Navigation  Water Quality
Danube,Bosnia and Herzegovina,Convention between the government of the Federal People's Republic of Yugoslavia and the Federal Government of the Austrian Republic concerning water economy questions relating to the Drava  signed at Geneva,25/05/1954,Austria  Yugoslavia,Water Quantity  Hydro-power/Hydro-electricity
Orange,Botswana,Agreement Between the Governments of the Republic of Botswana the Kingdom of Lesotho the Republic of Namibia and the Republic of South Africa on the Establishment of the Orange-Senqu Commission. Windhoek  3 November  2000,03/11/2000,Botswana  Lesotho  Namibia  South Africa,N.A.
Okavango,Botswana,Agreement Between the Government of Botswana and the Republic of Namibia on the Establishment of a Joint Water Commission. Windhoek  13 November  1990,13/11/1990,Botswana  Namibia,N.A.
Orange,Botswana,Agreement Between the Government of Botswana and the Republic of Namibia on the Establishment of a Joint Water Commission. Windhoek  13 November  1990,13/11/1990,Botswana  Namibia,N.A.
Zambezi,Botswana,Agreement Between the Government of Botswana and the Republic of Namibia on the Establishment of a Joint Water Commission. Windhoek  13 November  1990,13/11/1990,Botswana  Namibia,N.A.
Limpopo,Botswana,Agreement on the Establishment of the Joint Permanent Technical Commission. 1997,19/06/1905,Botswana  South Africa,N.A.
Limpopo,Botswana,Agreement on the Establishment of the Joint Permanent Commission for Cooperation,01/06/1989,Botswana  South Africa,N.A.
Zambezi,Botswana,Agreement on the Establishment of the Zambezi Watercourse Commission,13/07/2004,N.A.,N.A.
Zambezi,Botswana,Agreement on the action plan for the environmentally sound management of the common Zambesi River System,28/05/1987,Botswana  Mozambique  Tanzania  Zambia  Zimbabwe,Flood control/relief  Water Quantity
General,Botswana,Protocol on shared watercourse systems in the Southern African Development community (SADC) region,28/08/1995,Angola  Botswana  Lesotho  Malawi  Namibia  Zimbabwe  Mozanbique  Zambia  South Africa  Swaziland  Tanzania,Joint Management
General,Botswana,Revised protocol on shared water courses in the Southern African Development Community,07/08/2000,Angola  Botswana  Democratic Republic of Congo  Lesotho  Malawi  Mauritus  Mozambique  Namibia  Seychelles  South Africa  Swaziland  Tanzania  Zambia  Zimbabwe,Joint Management  Economic Development
General,Botswana,African convention on the conservation of nature and natural resources,15/09/1968,Cameroon  Central Africa Republic  Congo  Cote D'Ivoire  Djibouti  Egypt  Ghana  Kenya  Madagascar  Malawi  Mali  Morocco Mozambique  Niger  Nigeria  Rwanda  Senegal  Seychelles  Sudan  Swaziland  Togo  Tunisia  Uganda  Tanzania  Zaire  Liberia  Algeria,Joint Management  Water Quality
General,Botswana,African convention on the conservation of nature and natural resources,11/07/2003,ALGERIA  ANGOLA  BENIN  BOTSWANA  BURKINA FASO  BURUNDI  CAMEROON  CAPE VERDE  CENTRAL AFRICAN REPUBLIC  CHAD  COMOROS  CONGO  Dem. Rep. of  CONGO  C���TE D'IVOIRE  DJIBOUTI  EGYPT  EQUATORIAL GUINEA  ERITREA  ETHIOPIA  GABON  GAMBIA  GHANA  GUINEA  GUINEA-BISSAU  KENYA  LESOTHO  LIBERIA  LIBYAN ARAB JAMAHIRIYA  MADAGASCAR  MALAWI  MALI  MAURITANIA  MAURITIUS  MOROCCO  MOZAMBIQUE  NAMIBIA  NIGER  NIGERIA  RWANDA  SAO TOME AND PRINCIPE  SENEGAL  SEYCHELLES  SIERRA LEONE  SOMALIA  SOUTH AFRICA  SUDAN  SWAZILAND  TANZANIA  Un. Rep. of  TOGO  TUNISIA  UGANDA  ZAMBIA  ZIMBABWE,Water Quality  Economic Development  Irrigation  Technical Cooperation/Assistance  Water Quantity  Joint Management
Okavango,Botswana,Agreement between the governments of the Republic of Angola  the Republic of Botswana  and the Republic of Namibia on the establishment of a permanent Okavango River Basin Water Commission (OKACOM),16/09/1994,Angola  Botswana  Namibia,Water Quantity
La Plata,Brazil,Treaty of the River Plata Basin,23/04/1969,Argentina  Bolivia  Brasil  Paraguay  Uruguay,N.A.
La Plata,Brazil,Exchange of Notes constituting an Agreement on delimitation of the frontier along the thalweg on the Uruguay River in the area of the Basic Garabi Development Project,20/10/1983,Brazil  Argentina,N.A.
Unknown,Brazil,Notes between Brazil and Uruguay,05/08/1963,Brazil  Uruguay,N.A.
Lagoon Dos Patos-Lagoon Mirim,Brazil,Exchange of Notes constituting an Agreement on the Joint Commission for the Development of Mirim Lagoon,20/05/1974,Brazil  Uruguay,N.A.
La Plata,Brazil,Acuerdo entre el Gobierno de la Rep���blica del Paraguay y el Gobierno de la Rep���blica Federativa del Brasil para la conservaci���n de la fauna acu���tica en los cursos de los r���os lim���trofes,01/09/1994,Paraguay  Brasil,N.A.
Unknown,Brazil,Basic accord of scientific and technical cooperation between the Government of the Eastern Republic of Uruguay and the Government of the Federal Republic of Brazil in the area of water resources.,12/06/1975,Uruguay  Brazil,N.A.
Chuy,Brazil,Convention regarding the determination of the legal status of the frontier between Brazil and Uruguay,20/12/1933,Brazil  Uruguay,Border Issues
La Plata,Brazil,Convention regarding the determination of the legal status of the frontier between Brazil and Uruguay,20/12/1933,Brazil  Uruguay,Border Issues
Lagoon Dos Patos-Lagoon Mirim,Brazil,Convention regarding the determination of the legal status of the frontier between Brazil and Uruguay,20/12/1933,Brazil  Uruguay,Border Issues
Unknown,Brazil,Agreement between the Government of the Federative Republic of Brazil and the Government of the Republic of Venezuela on the establishment of a non-aedificandi zone at the boundary between the two countries.,17/05/1988,Brazil  Venezuela,Border Issues  Water Quality  Technical Cooperation/Assistance  Joint Management  Infrastructure/Development
Amazon,Brazil,Treaty for Amazonian cooperation,03/07/1978,Bolivia  Brazil Colombia  Ecuador  Guyana  Peru  Suriname  Venezuela,Economic Development
La Plata,Brazil,Agreement of cooperation between the government of the Eastern Republic of Uruguay and the Federal Republic of Brazil for the use of natural resources and the development of the basin of the Cuareim river,11/03/1991,Brasil  Estern Republic of Urugay,Economic Development
